ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,2,562,139.0,45.0,139.08718861209965,46.829181494661924,0,2
3,3,238,120.0,65.0,120.37394957983193,63.710084033613448,0,3
3,4,408,78.0,64.0,77.465686274509807,67.254901960784309,0,4
3,5,818,176.0,73.0,176.33985330073349,74.504889975550128,0,5
3,6,461,50.0,75.0,50.375271149674617,74.199566160520604,0,6
3,7,279,93.0,74.0,92.508960573476699,73.225806451612897,0,7
3,8,354,144.0,87.0,144.51694915254237,88.129943502824858,0,8
3,9,321,42.0,97.0,42.305295950155767,96.766355140186917,0,9
3,10,482,115.0,96.0,115.61203319502074,96.165975103734439,0,10
3,11,722,190.0,109.0,186.06371191135733,108.59279778393352,0,11
3,12,312,121.0,119.0,121.78205128205128,117.85897435897436,0,12
3,13,798,52.0,125.0,52.192982456140349,127.32706766917293,0,13
3,14,456,144.0,133.0,143.51754385964912,133.375,0,14
3,15,738,184.0,143.0,183.55962059620597,143.02303523035229,0,15
3,16,355,110.0,150.0,111.11830985915493,150.08169014084507,0,16
3,17,103,156.0,155.0,155.57281553398059,154.77669902912621,0,17
3,18,615,71.0,164.0,70.386991869918702,164.43739837398374,0,18
3,19,365,124.0,166.0,124.22191780821917,165.97808219178083,0,19
3,20,487,172.0,174.0,171.95687885010267,174.59753593429159,0,20
3,21,498,147.0,175.0,148.04819277108433,177.63453815261045,0,21
3,22,355,84.0,184.0,85.135211267605641,184.44788732394366,0,22
3,23,405,122.0,191.0,121.66666666666667,190.47407407407408,0,23
4,1,496,74.0,44.0,73.508064516129039,47.91532258064516,0,1
4,2,278,49.0,48.0,49.345323741007192,48.0,0,2
4,3,433,105.0,49.0,104.95381062355658,49.551963048498848,0,3
4,4,576,135.0,60.0,132.41319444444446,58.751736111111114,0,4
4,5,516,55.0,64.0,55.542635658914726,63.800387596899228,0,5
4,6,315,157.0,69.0,153.72063492063492,72.450793650793656,0,6
4,7,229,54.0,87.0,54.35807860262009,86.746724890829697,0,7
4,8,160,175.0,85.0,174.72499999999999,84.487499999999997,0,8
4,9,86,166.0,87.0,166.38372093023256,87.348837209302332,0,9
4,10,392,87.0,87.0,84.436224489795919,90.739795918367349,0,10
4,11,577,34.0,90.0,34.367417677642983,90.611785095320627,0,11
4,12,448,115.0,94.0,114.88839285714286,93.758928571428569,0,12
4,13,230,161.0,96.0,161.0,95.504347826086956,0,13
4,14,409,185.0,99.0,185.3520782396088,99.513447432762831,0,14
4,15,328,135.0,103.0,135.46341463414635,103.55182926829268,0,15
4,16,348,98.0,107.0,98.543103448275858,106.64080459770115,0,16
4,17,84,163.0,115.0,163.75,115.94047619047619,0,17
4,18,317,74.0,119.0,74.003154574132495,119.57413249211356,0,18
4,19,300,125.0,119.0,125.3,118.99333333333334,0,19
4,20,545,26.0,120.0,28.348623853211009,120.18348623853211,0,20
4,21,168,185.0,120.0,188.1904761904762,119.5,0,21
4,22,331,99.0,133.0,98.589123867069489,132.8036253776435,0,22
4,23,170,73.0,142.0,73.758823529411771,141.63529411764705,0,23
4,24,313,27.0,147.0,26.389776357827476,145.34504792332268,0,24
4,25,457,137.0,150.0,133.19037199124728,148.24945295404814,0,25
4,26,713,192.0,142.0,190.40112201963535,145.02524544179522,0,26
4,27,130,82.0,149.0,82.384615384615387,148.22307692307692,0,27
4,28,649,41.0,164.0,41.56240369799692,163.75346687211095,0,28
4,29,211,122.0,163.0,121.24170616113744,162.65876777251185,0,29
4,30,336,178.0,171.0,179.23809523809524,170.58630952380952,0,30
4,31,323,93.0,186.0,91.591331269349851,186.62848297213623,0,31
4,32,219,50.0,184.0,49.853881278538815,184.08675799086757,0,32
4,33,315,132.0,186.0,132.88888888888889,189.06984126984128,0,33
4,34,603,157.0,192.0,156.66832504145938,192.68656716417911,0,34
4,35,884,71.0,192.0,81.397058823529406,198.41628959276019,0,35
4,36,577,116.0,201.0,117.29116117850953,201.98786828422877,0,36
5,1,415,98.0,31.0,96.455421686746988,30.973493975903615,0,1
5,2,311,114.0,40.0,114.91318327974277,39.29903536977492,0,2
5,3,382,70.0,42.0,70.520942408376968,42.02094240837696,0,3
5,4,354,139.0,42.0,140.05367231638419,41.870056497175142,0,4
5,5,236,92.0,56.0,92.139830508474574,55.936440677966104,0,5
5,6,328,52.0,62.0,52.079268292682926,61.954268292682926,0,6
5,7,509,147.0,64.0,146.99607072691552,63.43222003929273,0,7
5,8,401,118.0,67.0,119.55860349127182,69.194513715710727,0,8
5,9,231,43.0,78.0,43.341991341991339,77.80952380952381,0,9
5,10,353,89.0,78.0,89.118980169971678,78.082152974504254,0,10
5,11,495,166.0,82.0,166.74949494949496,82.589898989898984,0,11
5,12,322,63.0,83.0,63.596273291925463,83.984472049689444,0,12
5,13,447,142.0,97.0,142.30648769574944,95.917225950782992,0,13
5,14,288,115.0,98.0,115.21180555555556,98.430555555555557,0,14
5,15,567,45.0,102.0,45.885361552028222,103.14638447971781,0,15
5,16,79,96.0,109.0,95.417721518987335,108.63291139240506,0,16
5,17,401,171.0,111.0,170.30174563591024,111.30423940149626,0,17
5,18,475,71.0,118.0,70.623157894736849,117.69263157894737,0,18
5,19,434,131.0,119.0,130.16589861751152,120.49308755760369,0,19
5,20,494,100.0,132.0,96.400809716599184,131.50404858299595,0,20
5,21,440,155.0,132.0,155.8840909090909,132.3909090909091,0,21
5,22,378,78.0,151.0,78.703703703703709,151.18253968253967,0,22
5,23,342,121.0,151.0,120.60526315789474,151.21052631578948,0,23
5,24,318,101.0,156.0,101.18867924528301,155.33962264150944,0,24
6,1,467,93.0,15.0,93.171306209850101,14.777301927194861,0,1
6,2,727,125.0,27.0,126.09215955983494,24.865199449793671,0,2
6,3,505,61.0,41.0,63.429702970297029,40.443564356435644,0,3
6,4,402,150.0,39.0,149.07462686567163,39.475124378109456,0,4
6,5,559,172.0,56.0,171.11806797853311,55.957066189624328,0,5
6,6,557,82.0,62.0,80.960502692998205,62.509874326750449,0,6
6,7,514,114.0,71.0,114.41828793774319,71.153696498054472,0,7
6,8,595,57.0,78.0,65.569747899159665,79.171428571428578,0,8
6,9,498,179.0,79.0,174.5843373493976,78.847389558232933,0,9
6,10,263,140.0,87.0,140.10266159695817,87.022813688212935,0,10
6,11,482,158.0,105.0,161.22614107883817,103.41908713692946,0,11
6,12,464,59.0,104.0,63.760775862068968,103.71551724137932,0,12
6,13,612,190.0,119.0,190.83660130718954,118.17156862745098,0,13
6,14,488,140.0,127.0,139.61270491803279,127.26639344262296,0,14
6,15,285,57.0,129.0,57.901754385964914,129.66666666666666,0,15
6,16,372,97.0,133.0,99.077956989247312,132.3279569892473,0,16
6,17,155,114.0,140.0,113.09677419354838,138.75483870967741,0,17
6,18,684,171.0,148.0,169.63011695906434,148.86842105263159,0,18
6,19,423,72.0,157.0,71.418439716312051,156.1678486997636,0,19
6,20,629,105.0,166.0,103.7631160572337,165.97297297297297,0,20
6,21,615,135.0,167.0,132.67154471544714,168.13983739837397,0,21
